序号,名称,代理名,端口,代理地址,状态,IP地址,国家/地区,城市,运营商,延迟(ms)
1,mixed0,香港-01,1000,socks5://127.0.0.1:1000,成功,157.254.20.71,HK,Hong Kong,AS202662 Hytron Network Services Limited,777.19
2,mixed1,香港-02,1001,socks5://127.0.0.1:1001,成功,157.254.20.72,HK,Hong Kong,AS202662 Hytron Network Services Limited,832.14
3,mixed2,香港-03,1002,socks5://127.0.0.1:1002,成功,157.254.20.73,HK,Hong Kong,AS202662 Hytron Network Services Limited,756.79
4,mixed3,香港-04,1003,socks5://127.0.0.1:1003,成功,157.254.20.74,HK,Hong Kong,AS202662 Hytron Network Services Limited,1253.87
5,mixed4,香港-05,1004,socks5://127.0.0.1:1004,成功,157.254.20.75,HK,Hong Kong,AS202662 Hytron Network Services Limited,786.31
6,mixed5,香港-06,1005,socks5://127.0.0.1:1005,成功,157.254.20.76,HK,Hong Kong,AS202662 Hytron Network Services Limited,1046.04
7,mixed6,香港-07,1006,socks5://127.0.0.1:1006,成功,157.254.20.77,HK,Hong Kong,AS202662 Hytron Network Services Limited,1403.24
8,mixed7,香港-08,1007,socks5://127.0.0.1:1007,成功,157.254.20.78,HK,Hong Kong,AS202662 Hytron Network Services Limited,1219.33
9,mixed8,香港-09,1008,socks5://127.0.0.1:1008,成功,157.254.20.79,HK,Hong Kong,AS202662 Hytron Network Services Limited,750.53
10,mixed9,香港-10,1009,socks5://127.0.0.1:1009,成功,157.254.20.80,HK,Hong Kong,AS202662 Hytron Network Services Limited,782.78
11,mixed10,香港-11,1010,socks5://127.0.0.1:1010,成功,157.254.20.81,HK,Hong Kong,AS202662 Hytron Network Services Limited,1031.43
12,mixed11,香港-12,1011,socks5://127.0.0.1:1011,成功,157.254.20.82,HK,Hong Kong,AS202662 Hytron Network Services Limited,999.36
13,mixed12,香港-13,1012,socks5://127.0.0.1:1012,成功,157.254.20.83,HK,Hong Kong,AS202662 Hytron Network Services Limited,1869.29
14,mixed13,香港-14,1013,socks5://127.0.0.1:1013,成功,157.254.20.84,HK,Hong Kong,AS202662 Hytron Network Services Limited,1186.78
15,mixed14,香港-15,1014,socks5://127.0.0.1:1014,成功,157.254.20.85,HK,Hong Kong,AS202662 Hytron Network Services Limited,778.11
16,mixed15,香港-16,1015,socks5://127.0.0.1:1015,成功,157.254.20.86,HK,Hong Kong,AS202662 Hytron Network Services Limited,804.19
17,mixed16,香港-17,1016,socks5://127.0.0.1:1016,成功,157.254.20.87,HK,Hong Kong,AS202662 Hytron Network Services Limited,796.64
18,mixed17,香港-18,1017,socks5://127.0.0.1:1017,成功,157.254.20.88,HK,Hong Kong,AS202662 Hytron Network Services Limited,811.00
19,mixed18,香港-19,1018,socks5://127.0.0.1:1018,成功,157.254.20.89,HK,Hong Kong,AS202662 Hytron Network Services Limited,775.60
20,mixed19,香港-20,1019,socks5://127.0.0.1:1019,成功,157.254.20.90,HK,Hong Kong,AS202662 Hytron Network Services Limited,1350.35
21,mixed20,台湾-01,1020,socks5://127.0.0.1:1020,成功,103.137.247.41,TW,Taipei,"AS131642 Pittqiao Network Information Co.,Ltd.",862.33
22,mixed21,台湾-02,1021,socks5://127.0.0.1:1021,成功,103.137.247.42,TW,Taipei,"AS131642 Pittqiao Network Information Co.,Ltd.",1213.15
23,mixed22,台湾-03,1022,socks5://127.0.0.1:1022,成功,103.137.247.43,TW,Taipei,"AS131642 Pittqiao Network Information Co.,Ltd.",1324.92
24,mixed23,台湾-04,1023,socks5://127.0.0.1:1023,成功,103.137.247.44,TW,Taipei,"AS131642 Pittqiao Network Information Co.,Ltd.",830.49
25,mixed24,台湾-05,1024,socks5://127.0.0.1:1024,成功,103.137.247.45,TW,Taipei,"AS131642 Pittqiao Network Information Co.,Ltd.",840.06
26,mixed25,台湾-06,1025,socks5://127.0.0.1:1025,成功,103.137.247.46,TW,Taipei,"AS131642 Pittqiao Network Information Co.,Ltd.",820.61
27,mixed26,台湾-07,1026,socks5://127.0.0.1:1026,成功,103.137.247.47,TW,Taipei,"AS131642 Pittqiao Network Information Co.,Ltd.",825.64
28,mixed27,台湾-08,1027,socks5://127.0.0.1:1027,成功,103.137.247.48,TW,Taipei,"AS131642 Pittqiao Network Information Co.,Ltd.",862.80
29,mixed28,台湾-09,1028,socks5://127.0.0.1:1028,成功,103.137.247.49,TW,Taipei,"AS131642 Pittqiao Network Information Co.,Ltd.",958.19
30,mixed29,台湾-10,1029,socks5://127.0.0.1:1029,成功,103.137.247.50,TW,Taipei,"AS131642 Pittqiao Network Information Co.,Ltd.",784.78
31,mixed30,日本-01,1030,socks5://127.0.0.1:1030,成功,154.64.226.176,JP,Tokyo,AS51847 Nearoute Limited,474.86
32,mixed31,日本-02,1031,socks5://127.0.0.1:1031,成功,154.64.226.177,JP,Tokyo,AS51847 Nearoute Limited,507.87
33,mixed32,日本-03,1032,socks5://127.0.0.1:1032,成功,154.64.226.178,JP,Tokyo,AS51847 Nearoute Limited,648.00
34,mixed33,日本-04,1033,socks5://127.0.0.1:1033,成功,154.64.226.179,JP,Tokyo,AS51847 Nearoute Limited,5145.21
35,mixed34,日本-05,1034,socks5://127.0.0.1:1034,成功,154.64.226.180,JP,Tokyo,AS51847 Nearoute Limited,611.33
36,mixed35,日本-06,1035,socks5://127.0.0.1:1035,失败: SSLError,-,-,-,-,-
37,mixed36,日本-07,1036,socks5://127.0.0.1:1036,成功,154.64.226.182,JP,Tokyo,AS51847 Nearoute Limited,423.58
38,mixed37,日本-08,1037,socks5://127.0.0.1:1037,成功,154.64.226.183,JP,Tokyo,AS51847 Nearoute Limited,1164.81
39,mixed38,日本-09,1038,socks5://127.0.0.1:1038,成功,154.64.226.184,JP,Tokyo,AS51847 Nearoute Limited,910.57
40,mixed39,日本-10,1039,socks5://127.0.0.1:1039,成功,154.64.226.185,JP,Tokyo,AS51847 Nearoute Limited,455.13
41,mixed40,新加坡-01,1040,socks5://127.0.0.1:1040,成功,103.172.183.211,SG,Singapore,AS147293 Nearoute Limited.,1163.65
42,mixed41,新加坡-02,1041,socks5://127.0.0.1:1041,成功,103.172.183.212,SG,Singapore,AS147293 Nearoute Limited.,880.82
43,mixed42,新加坡-03,1042,socks5://127.0.0.1:1042,成功,103.172.183.213,SG,Singapore,AS147293 Nearoute Limited.,862.09
44,mixed43,新加坡-04,1043,socks5://127.0.0.1:1043,成功,103.172.183.214,SG,Singapore,AS147293 Nearoute Limited.,936.00
45,mixed44,新加坡-05,1044,socks5://127.0.0.1:1044,成功,103.172.183.215,SG,Singapore,AS147293 Nearoute Limited.,904.37
46,mixed45,新加坡-06,1045,socks5://127.0.0.1:1045,成功,103.172.183.216,SG,Singapore,AS147293 Nearoute Limited.,917.30
47,mixed46,新加坡-07,1046,socks5://127.0.0.1:1046,成功,103.172.183.217,SG,Singapore,AS147293 Nearoute Limited.,1127.76
48,mixed47,新加坡-08,1047,socks5://127.0.0.1:1047,成功,103.172.183.218,SG,Singapore,AS147293 Nearoute Limited.,2048.43
49,mixed48,新加坡-09,1048,socks5://127.0.0.1:1048,成功,103.172.183.219,SG,Singapore,AS147293 Nearoute Limited.,1372.43
50,mixed49,新加坡-10,1049,socks5://127.0.0.1:1049,成功,103.172.183.220,SG,Singapore,AS147293 Nearoute Limited.,1086.45
51,mixed50,美国-01,1050,socks5://127.0.0.1:1050,失败: SSLError,-,-,-,-,-
52,mixed51,美国-02,1051,socks5://127.0.0.1:1051,成功,38.58.181.11,US,Draper,"AS26042 FiberState, LLC",724.54
53,mixed52,美国-03,1052,socks5://127.0.0.1:1052,成功,38.58.181.13,US,Draper,"AS26042 FiberState, LLC",810.85
54,mixed53,美国-04,1053,socks5://127.0.0.1:1053,成功,38.58.181.13,US,Draper,"AS26042 FiberState, LLC",817.34
55,mixed54,美国-05,1054,socks5://127.0.0.1:1054,成功,38.58.181.14,US,Draper,"AS26042 FiberState, LLC",1090.21
56,mixed55,美国-06,1055,socks5://127.0.0.1:1055,成功,38.92.25.11,US,Draper,"AS26042 FiberState, LLC",1271.62
57,mixed56,美国-07,1056,socks5://127.0.0.1:1056,成功,38.92.25.12,US,Draper,"AS26042 FiberState, LLC",989.31
58,mixed57,美国-08,1057,socks5://127.0.0.1:1057,失败: SSLError,-,-,-,-,-
59,mixed58,美国-09,1058,socks5://127.0.0.1:1058,成功,38.92.25.14,US,Draper,"AS26042 FiberState, LLC",776.84
60,mixed59,美国-10,1059,socks5://127.0.0.1:1059,成功,38.92.25.15,US,Draper,"AS26042 FiberState, LLC",1413.54
61,mixed60,英国-01,1060,socks5://127.0.0.1:1060,成功,185.141.57.16,GB,London,AS62240 Clouvider,1159.13
62,mixed61,英国-02,1061,socks5://127.0.0.1:1061,成功,185.141.57.17,GB,London,AS62240 Clouvider,1661.89
63,mixed62,英国-03,1062,socks5://127.0.0.1:1062,成功,185.141.57.18,GB,London,AS62240 Clouvider,1068.84
64,mixed63,英国-04,1063,socks5://127.0.0.1:1063,成功,185.141.57.19,GB,London,AS62240 Clouvider,2074.94
65,mixed64,英国-05,1064,socks5://127.0.0.1:1064,成功,185.141.57.20,GB,London,AS62240 Clouvider,4248.13
66,mixed65,马来西亚-01,1065,socks5://127.0.0.1:1065,成功,124.217.226.216,MY,Klang,AS45839 Shinjiru Technology Sdn Bhd,986.34
67,mixed66,马来西亚-02,1066,socks5://127.0.0.1:1066,成功,124.217.226.217,MY,Klang,AS45839 Shinjiru Technology Sdn Bhd,1463.00
68,mixed67,马来西亚-03,1067,socks5://127.0.0.1:1067,成功,124.217.226.218,MY,Klang,AS45839 Shinjiru Technology Sdn Bhd,1136.65
69,mixed68,马来西亚-04,1068,socks5://127.0.0.1:1068,成功,124.217.226.219,MY,Klang,AS45839 Shinjiru Technology Sdn Bhd,1091.76
70,mixed69,马来西亚-05,1069,socks5://127.0.0.1:1069,成功,124.217.226.220,MY,Klang,AS45839 Shinjiru Technology Sdn Bhd,934.77
71,mixed70,土耳其-01,1070,socks5://127.0.0.1:1070,成功,2.59.181.143,TR,Bursa,AS200239 Bogahost Bilisim ve Telekomunikasyon Hiz. San ve Tic. Ltd. Sti.,2419.14
72,mixed71,土耳其-02,1071,socks5://127.0.0.1:1071,成功,2.59.181.54,TR,Bursa,AS200239 Bogahost Bilisim ve Telekomunikasyon Hiz. San ve Tic. Ltd. Sti.,1814.73
73,mixed72,阿根廷-01,1072,socks5://127.0.0.1:1072,成功,156.244.54.223,AR,Buenos Aires,AS138915 Kaopu Cloud HK Limited,1387.24
74,mixed73,阿根廷-02,1073,socks5://127.0.0.1:1073,成功,38.54.45.42,AR,Buenos Aires,AS138915 Kaopu Cloud HK Limited,1449.31
